Game Config,Strategy,Rules,Decision,Action A,Action B,Player Value,Dealer Upcard,Deviation TC,Total Hands,Notes
2deck_65pen,HiLoStrategy,H17,Hit_vs_Double,Double,Hit,9,2,0.5,76831148,
2deck_65pen,HiLoStrategy,H17,Hit_vs_Double,Double,Hit,9,7,2.5,74483425,
2deck_65pen,HiLoStrategy,H17,Hit_vs_Double,Double,Hit,10,10,2.5,311802099,
2deck_65pen,HiLoStrategy,H17,Hit_vs_Double,Double,Hit,10,11,2.5,58115715,
2deck_65pen,HiLoStrategy,H17,Hit_vs_Double,Double,Hit,11,11,-0.5,67395651,
2deck_65pen,HiLoStrategy,H17,Hit_vs_Stand,Hit,Stand,12,2,3.5,182824803,
2deck_65pen,HiLoStrategy,H17,Hit_vs_Stand,Hit,Stand,12,3,2.0,192976068,
2deck_65pen,HiLoStrategy,H17,Hit_vs_Stand,Hit,Stand,13,2,-0.5,184750126,
2deck_65pen,HiLoStrategy,H17,Hit_vs_Stand,Hit,Stand,13,3,-2.0,170382975,
2deck_65pen,HiLoStrategy,H17,Hit_vs_Stand,Hit,Stand,15,10,3.0,524952872,
2deck_65pen,HiLoStrategy,H17,Hit_vs_Stand,Hit,Stand,16,10,0.5,473128500,
2deck_65pen,HiLoStrategy,H17,InsuranceAccept_vs_Decline,Insurance,Decline,ALL,11,2.5,1989209555,Consolidated across all player hands
2deck_65pen,HiLoStrategy,H17,Split_vs_Stand_Pair10s,Split,Stand,20,5,4.5,41901305,
2deck_65pen,HiLoStrategy,H17,Split_vs_Stand_Pair10s,Split,Stand,20,6,4.0,41858327,
2deck_65pen,HiLoStrategy,H17,Surrender_vs_Hit,Surrender,Hit,14,10,3.0,564162899,
2deck_65pen,HiLoStrategy,H17,Surrender_vs_Hit,Surrender,Hit,15,9,2.0,144128872,
2deck_65pen,HiLoStrategy,H17,Surrender_vs_Hit,Surrender,Hit,15,10,-0.5,524952872,
2deck_65pen,HiLoStrategy,H17,Surrender_vs_Hit,Surrender,Hit,15,11,0.5,100924618,
2deck_65pen,HiLoStrategy,H17,Surrender_vs_Hit,Surrender,Hit,16,9,0.0,130033292,
2deck_65pen,HiLoStrategy,H17,Surrender_vs_Hit,Surrender,Hit,16,10,-3.0,473128502,
2deck_65pen,HiLoStrategy,H17,Surrender_vs_Hit,Surrender,Hit,16,11,-2.0,91278729,
2deck_65pen,HiLoStrategy,S17,Hit_vs_Double,Double,Hit,9,2,0.5,77105196,
2deck_65pen,HiLoStrategy,S17,Hit_vs_Double,Double,Hit,9,7,3.0,74757855,
2deck_65pen,HiLoStrategy,S17,Hit_vs_Double,Double,Hit,10,10,2.5,312959645,
2deck_65pen,HiLoStrategy,S17,Hit_vs_Double,Double,Hit,10,11,2.5,58313083,
2deck_65pen,HiLoStrategy,S17,Hit_vs_Double,Double,Hit,11,11,-0.5,67605588,
2deck_65pen,HiLoStrategy,S17,Hit_vs_Stand,Hit,Stand,12,2,3.5,183506376,
2deck_65pen,HiLoStrategy,S17,Hit_vs_Stand,Hit,Stand,12,3,2.0,193708518,
2deck_65pen,HiLoStrategy,S17,Hit_vs_Stand,Hit,Stand,13,2,-0.5,185471068,
2deck_65pen,HiLoStrategy,S17,Hit_vs_Stand,Hit,Stand,13,3,-2.0,171041601,
2deck_65pen,HiLoStrategy,S17,Hit_vs_Stand,Hit,Stand,15,10,3.0,527042296,
2deck_65pen,HiLoStrategy,S17,Hit_vs_Stand,Hit,Stand,16,10,0.5,474940381,
2deck_65pen,HiLoStrategy,S17,InsuranceAccept_vs_Decline,Insurance,Decline,ALL,11,2.5,1995738645,Consolidated across all player hands
2deck_65pen,HiLoStrategy,S17,Split_vs_Stand_Pair10s,Split,Stand,20,5,4.0,42060242,
2deck_65pen,HiLoStrategy,S17,Split_vs_Stand_Pair10s,Split,Stand,20,6,4.0,42016999,
2deck_65pen,HiLoStrategy,S17,Surrender_vs_Hit,Surrender,Hit,14,10,2.5,566380669,
2deck_65pen,HiLoStrategy,S17,Surrender_vs_Hit,Surrender,Hit,15,9,2.0,144699007,
2deck_65pen,HiLoStrategy,S17,Surrender_vs_Hit,Surrender,Hit,15,10,-0.5,527042304,
2deck_65pen,HiLoStrategy,S17,Surrender_vs_Hit,Surrender,Hit,15,11,0.5,101252750,
2deck_65pen,HiLoStrategy,S17,Surrender_vs_Hit,Surrender,Hit,16,9,0.0,130521688,
2deck_65pen,HiLoStrategy,S17,Surrender_vs_Hit,Surrender,Hit,16,10,-3.0,474940381,
2deck_65pen,HiLoStrategy,S17,Surrender_vs_Hit,Surrender,Hit,16,11,-2.0,91574987,
2deck_65pen,MentorStrategy,H17,Hit_vs_Double,Double,Hit,9,2,1.0,76692988,
2deck_65pen,MentorStrategy,H17,Hit_vs_Double,Double,Hit,9,7,5.5,74321507,
2deck_65pen,MentorStrategy,H17,Hit_vs_Double,Double,Hit,10,10,4.5,311062516,
2deck_65pen,MentorStrategy,H17,Hit_vs_Double,Double,Hit,10,11,5.0,57983751,
2deck_65pen,MentorStrategy,H17,Hit_vs_Double,Double,Hit,11,11,-0.5,67189690,
2deck_65pen,MentorStrategy,H17,Hit_vs_Stand,Hit,Stand,12,2,6.0,182474141,
2deck_65pen,MentorStrategy,H17,Hit_vs_Stand,Hit,Stand,12,3,3.5,192577022,
2deck_65pen,MentorStrategy,H17,Hit_vs_Stand,Hit,Stand,13,2,-1.0,184352323,
2deck_65pen,MentorStrategy,H17,Hit_vs_Stand,Hit,Stand,13,3,-2.0,170009542,
2deck_65pen,MentorStrategy,H17,Hit_vs_Stand,Hit,Stand,15,10,4.5,523581703,
2deck_65pen,MentorStrategy,H17,Hit_vs_Stand,Hit,Stand,16,10,1.0,471921397,
2deck_65pen,MentorStrategy,H17,InsuranceAccept_vs_Decline,Insurance,Decline,ALL,11,5.0,1983187249,Consolidated across all player hands
2deck_65pen,MentorStrategy,H17,Split_vs_Stand_Pair10s,Split,Stand,20,5,7.5,41785468,
2deck_65pen,MentorStrategy,H17,Split_vs_Stand_Pair10s,Split,Stand,20,6,7.5,41752169,
2deck_65pen,MentorStrategy,H17,Surrender_vs_Hit,Surrender,Hit,14,10,3.5,562738801,
2deck_65pen,MentorStrategy,H17,Surrender_vs_Hit,Surrender,Hit,15,9,3.5,143778650,
2deck_65pen,MentorStrategy,H17,Surrender_vs_Hit,Surrender,Hit,15,10,-1.5,523581703,
2deck_65pen,MentorStrategy,H17,Surrender_vs_Hit,Surrender,Hit,15,11,1.5,100606094,
2deck_65pen,MentorStrategy,H17,Surrender_vs_Hit,Surrender,Hit,16,9,0.0,129724038,
2deck_65pen,MentorStrategy,H17,Surrender_vs_Hit,Surrender,Hit,16,10,-5.0,471921397,
2deck_65pen,MentorStrategy,H17,Surrender_vs_Hit,Surrender,Hit,16,11,-3.0,90956486,
2deck_65pen,MentorStrategy,S17,Hit_vs_Double,Double,Hit,9,2,1.0,76979845,
2deck_65pen,MentorStrategy,S17,Hit_vs_Double,Double,Hit,9,7,6.0,74617046,
2deck_65pen,MentorStrategy,S17,Hit_vs_Double,Double,Hit,10,10,4.5,312259701,
2deck_65pen,MentorStrategy,S17,Hit_vs_Double,Double,Hit,10,11,5.0,58174284,
2deck_65pen,MentorStrategy,S17,Hit_vs_Double,Double,Hit,11,11,-0.5,67400212,
2deck_65pen,MentorStrategy,S17,Hit_vs_Stand,Hit,Stand,12,2,6.0,183151693,
